testId,method,arraySize,subsetSize,repetitionId,beginTestTicks,endTestTicks,elapsedTicks,elapsedMilliseconds
0,heap,10000,19,20,638896093619624513,638896093619655361,30848,3.0848
0,sorting,10000,41,1,638896093619655601,638896093619686043,30442,3.0442
0,heap,10000,41,1,638896093619686407,638896093619717013,30606,3.0606
0,sorting,10000,41,2,638896093619717390,638896093619748286,30896,3.0896
0,heap,10000,41,2,638896093619748613,638896093619779220,30607,3.0607
0,sorting,10000,41,3,638896093619779560,638896093619810441,30881,3.0881
0,heap,10000,41,3,638896093619810764,638896093619843713,32949,3.2949
0,sorting,10000,41,4,638896093619845278,638896093619876441,31163,3.1163
0,heap,10000,41,4,638896093619877207,638896093619910191,32984,3.2984
0,sorting,10000,41,5,638896093619911259,638896093619942317,31058,3.1058
0,heap,10000,41,5,638896093619943057,638896093619976524,33467,3.3467
0,sorting,10000,41,6,638896093619978061,638896093620011537,33476,3.3476
0,heap,10000,41,6,638896093620012913,638896093620059506,46593,4.6593
0,sorting,10000,41,7,638896093620061322,638896093620103112,41790,4.179
0,heap,10000,41,7,638896093620104080,638896093620135190,31110,3.111
0,sorting,10000,41,8,638896093620135793,638896093620167043,31250,3.125
0,heap,10000,41,8,638896093620167619,638896093620198760,31141,3.1141
0,sorting,10000,41,9,638896093620199431,638896093620230751,31320,3.132
0,heap,10000,41,9,638896093620231421,638896093620262531,31110,3.111
0,sorting,10000,41,10,638896093620263049,638896093620294456,31407,3.1407
0,heap,10000,41,10,638896093620294995,638896093620326111,31116,3.1116
0,sorting,10000,41,11,638896093620326636,638896093620357498,30862,3.0862
0,heap,10000,41,11,638896093620358220,638896093620389501,31281,3.1281
0,sorting,10000,41,12,638896093620390355,638896093620421917,31562,3.1562
0,heap,10000,41,12,638896093620422639,638896093620456210,33571,3.3571
0,sorting,10000,41,13,638896093620457396,638896093620490236,32840,3.284
0,heap,10000,41,13,638896093620491635,638896093620527037,35402,3.5402
0,sorting,10000,41,14,638896093620528829,638896093620563277,34448,3.4448
0,heap,10000,41,14,638896093620565183,638896093620596256,31073,3.1073
0,sorting,10000,41,15,638896093620596858,638896093620627402,30544,3.0544
0,heap,10000,41,15,638896093620627915,638896093620658571,30656,3.0656
0,sorting,10000,41,16,638896093620659004,638896093620689794,30790,3.079
0,heap,10000,41,16,638896093620690268,638896093620721172,30904,3.0904
0,sorting,10000,41,17,638896093620721693,638896093620752518,30825,3.0825
0,heap,10000,41,17,638896093620752986,638896093620783706,30720,3.072
0,sorting,10000,41,18,638896093620784139,638896093620814746,30607,3.0607
0,heap,10000,41,18,638896093620815210,638896093620845725,30515,3.0515
0,sorting,10000,41,19,638896093620846141,638896093620876950,30809,3.0809
0,heap,10000,41,19,638896093620877375,638896093620907588,30213,3.0213
0,sorting,10000,41,20,638896093620908018,638896093620938562,30544,3.0544
0,heap,10000,41,20,638896093620939042,638896093620969637,30595,3.0595
0,sorting,10000,79,1,638896093620970232,638896093621001178,30946,3.0946
0,heap,10000,79,1,638896093621002085,638896093621035159,33074,3.3074
0,sorting,10000,79,2,638896093621036343,638896093621068916,32573,3.2573
0,heap,10000,79,2,638896093621069922,638896093621100501,30579,3.0579
0,sorting,10000,79,3,638896093621101167,638896093621131907,30740,3.074
0,heap,10000,79,3,638896093621132640,638896093621163474,30834,3.0834
0,sorting,10000,79,4,638896093621164097,638896093621194997,30900,3.09
0,heap,10000,79,4,638896093621195608,638896093621226350,30742,3.0742
0,sorting,10000,79,5,638896093621226993,638896093621257721,30728,3.0728
0,heap,10000,79,5,638896093621261388,638896093621292155,30767,3.0767
0,sorting,10000,79,6,638896093621292956,638896093621323719,30763,3.0763
0,heap,10000,79,6,638896093621324297,638896093621355155,30858,3.0858
0,sorting,10000,79,7,638896093621355783,638896093621386521,30738,3.0738
0,heap,10000,79,7,638896093621387077,638896093621417954,30877,3.0877
0,sorting,10000,79,8,638896093621418507,638896093621449613,31106,3.1106
0,heap,10000,79,8,638896093621450791,638896093621482524,31733,3.1733
0,sorting,10000,79,9,638896093621484227,638896093621516027,31800,3.18
0,heap,10000,79,9,638896093621517066,638896093621547934,30868,3.0868
0,sorting,10000,79,10,638896093621548779,638896093621583088,34309,3.4309
0,heap,10000,79,10,638896093621584233,638896093621614850,30617,3.0617
0,sorting,10000,79,11,638896093621615513,638896093621646189,30676,3.0676
0,heap,10000,79,11,638896093621646780,638896093621677321,30541,3.0541
0,sorting,10000,79,12,638896093621677906,638896093621708721,30815,3.0815
0,heap,10000,79,12,638896093621709468,638896093621740354,30886,3.0886
0,sorting,10000,79,13,638896093621740957,638896093621771784,30827,3.0827
0,heap,10000,79,13,638896093621772359,638896093621802880,30521,3.0521
0,sorting,10000,79,14,638896093621803485,638896093621834414,30929,3.0929
0,heap,10000,79,14,638896093621834979,638896093621865885,30906,3.0906
0,sorting,10000,79,15,638896093621866460,638896093621897313,30853,3.0853
0,heap,10000,79,15,638896093621897879,638896093621928664,30785,3.0785
0,sorting,10000,79,16,638896093621929523,638896093621960617,31094,3.1094
0,heap,10000,79,16,638896093621961551,638896093621996805,35254,3.5254
0,sorting,10000,79,17,638896093621998595,638896093622032832,34237,3.4237
0,heap,10000,79,17,638896093622034956,638896093622066499,31543,3.1543
0,sorting,10000,79,18,638896093622067786,638896093622098428,30642,3.0642
